libGLX_nvidia.so.0->free(0x55824262dac0)                                     = <void> <0.000068>
libxcb.so.1->malloc(169136)                                                  = 0x558242657730 <0.000074>
libxcb.so.1->malloc(16)                                                      = 0x558242680bf0 <0.000066>
libxcb.so.1->free(0x558242680bf0)                                            = <void> <0.000067>
libxcb.so.1->malloc(169136)                                                  = 0x558242680c10 <0.000098>
libxcb.so.1->malloc(16)                                                      = 0x558242657f10 <0.000068>
libxcb.so.1->free(0x558242657f10)                                            = <void> <0.000067>
libxcb.so.1->malloc(169136)                                                  = 0x558242680c10 <0.000074>
libxcb.so.1->malloc(16)                                                      = 0x5582426586e0 <0.000069>
libxcb.so.1->free(0x5582426586e0)                                            = <void> <0.000074>
libxcb.so.1->malloc(32)                                                      = 0x55824262e290 <0.000075>
libxcb.so.1->malloc(16)                                                      = 0x5582424fb020 <0.000068>
libxcb.so.1->free(0x5582424fb020)                                            = <void> <0.000070>
libxcb.so.1->malloc(17104)                                                   = 0x558242681820 <0.000081>
libxcb.so.1->malloc(16)                                                      = 0x558242680b50 <0.000068>
libxcb.so.1->free(0x558242680b50)                                            = <void> <0.000067>
libGLX_nvidia.so.0->malloc(88)                                               = 0x558242522fb0 <0.000067>
libGLX_nvidia.so.0->malloc(13816)                                            = 0x558242685b00 <0.000066>
libGLX_nvidia.so.0->malloc(48)                                               = 0x558242680b70 <0.000067>
libGLX_nvidia.so.0->free(0x558242522fb0)                                     = <void> <0.000073>
libGLX_nvidia.so.0->free(0x558242685b00)                                     = <void> <0.000068>
libGLX_nvidia.so.0->free(0x558242523010)                                     = <void> <0.000075>
libGLX.so.0->malloc(94)                                                      = 0x558242524470 <0.000056>
libGLX.so.0->malloc(88)                                                      = 0x5582425667b0 <0.000052>
